x,y
340.7786,502.0478
451.3902,425.0535
505.6116,384.9296
495.8518,361.0722
531.6379,339.3837
528.3846,325.2861
582.606,299.2598
623.8143,286.2467
661.7692,280.8246
676.9512,287.3311
687.7955,298.1754
723.5816,279.7402
662.8537,139.849
582.606,85.6276
530.5535,60.6857
520.7936,114.9071
531.6379,132.258
541.3977,146.3555
538.1445,161.5375
501.2739,160.4531
476.3321,171.2974
461.1501,166.9597
450.3058,140.9334
448.137,117.076
467.6567,95.3874
451.3902,69.3612
411.2664,100.8096
398.2533,137.6801
350.5385,158.2842
321.2589,187.5638
284.3884,156.1154
274.6285,184.3105
257.2777,201.6614
233.4203,197.3236
204.1407,212.5056
221.4916,227.6876
214.985,237.4475
193.2964,240.7008
250.7711,274.318
250.7711,303.5976
247.5178,327.455
245.349,352.3968
249.6867,377.3386
267.0375,408.7871
306.0769,471.6839
338.6098,503.1323
